Date,Libellé,Montant,Solde
2025-01-01,Solde initial,0.0,10000.0
2025-01-02,Synthétique PME,-145.23,9854.77
2025-01-03,Synthétique PME,-391.94,9462.83
2025-01-04,Synthétique PME,-301.63,9161.2
2025-01-05,Synthétique PME,-325.05,8836.15
2025-01-06,Synthétique PME,-317.59,8518.56
2025-01-07,Synthétique PME,-250.26,8268.3
2025-01-08,Synthétique PME,-321.39,7946.91
2025-01-09,Synthétique PME,-352.66,7594.25
2025-01-10,Synthétique PME,-214.75,7379.5
2025-01-11,Synthétique PME,-275.55,7103.95
2025-01-12,Synthétique PME,-227.78,6876.17
2025-01-13,Synthétique PME,-231.69,6644.48
2025-01-14,Synthétique PME,-193.27,6451.21
2025-01-15,Synthétique PME,-369.69,6081.52
2025-01-16,Synthétique PME,-414.86,5666.66
2025-01-17,Synthétique PME,-247.57,5419.09
2025-01-18,Synthétique PME,-289.59,5129.5
2025-01-19,Synthétique PME,-241.28,4888.22
2025-01-20,Synthétique PME,-418.27,4469.94
2025-01-21,Synthétique PME,-263.83,4206.11
2025-01-22,Synthétique PME,-216.1,3990.01
2025-01-23,Synthétique PME,-303.24,3686.77
2025-01-24,Synthétique PME,-275.24,3411.53
2025-01-25,Synthétique PME,-299.88,3111.64
2025-01-26,Synthétique PME,-306.29,2805.36
2025-01-27,Synthétique PME,-325.9,2479.45
2025-01-28,Synthétique PME,-365.34,2114.11
2025-01-29,Synthétique PME,-237.42,1876.69
2025-01-30,Synthétique PME,-365.91,1510.78
2025-01-31,Synthétique PME,-300.06,1210.72
2025-02-01,Synthétique PME,8427.72,9638.45
2025-02-02,Synthétique PME,-303.02,9335.42
2025-02-03,Synthétique PME,-269.27,9066.15
2025-02-04,Synthétique PME,-343.33,8722.82
2025-02-05,Synthétique PME,-288.61,8434.21
2025-02-06,Synthétique PME,-297.33,8136.88
2025-02-07,Synthétique PME,-360.02,7776.86
2025-02-08,Synthétique PME,-238.64,7538.22
2025-02-09,Synthétique PME,-297.81,7240.41
2025-02-10,Synthétique PME,-311.31,6929.1
2025-02-11,Synthétique PME,-262.94,6666.17
2025-02-12,Synthétique PME,-298.49,6367.67
2025-02-13,Synthétique PME,-361.64,6006.03
2025-02-14,Synthétique PME,-302.96,5703.07
2025-02-15,Synthétique PME,-300.21,5402.86
2025-02-16,Synthétique PME,-293.73,5109.13
2025-02-17,Synthétique PME,-330.89,4778.24
2025-02-18,Synthétique PME,-284.26,4493.98
2025-02-19,Synthétique PME,-355.15,4138.83
2025-02-20,Synthétique PME,-306.55,3832.28
2025-02-21,Synthétique PME,-342.67,3489.61
2025-02-22,Synthétique PME,-225.28,3264.33
2025-02-23,Synthétique PME,-339.33,2925.0
2025-02-24,Synthétique PME,-362.47,2562.53
2025-02-25,Synthétique PME,-323.04,2239.49
2025-02-26,Synthétique PME,-302.95,1936.54
2025-02-27,Synthétique PME,-228.37,1708.17
2025-02-28,Synthétique PME,-337.64,1370.53
2025-03-01,Synthétique PME,7981.7,9352.22
2025-03-02,Synthétique PME,-329.29,9022.93
2025-03-03,Synthétique PME,-297.94,8724.99
2025-03-04,Synthétique PME,-308.5,8416.49
2025-03-05,Synthétique PME,-278.38,8138.11
2025-03-06,Synthétique PME,-264.77,7873.34
2025-03-07,Synthétique PME,-286.02,7587.32
2025-03-08,Synthétique PME,-273.38,7313.94
2025-03-09,Synthétique PME,-315.27,6998.67
2025-03-10,Synthétique PME,-370.9,6627.76
2025-03-11,Synthétique PME,-369.47,6258.29
2025-03-12,Synthétique PME,-223.31,6034.98
2025-03-13,Synthétique PME,-340.59,5694.4
2025-03-14,Synthétique PME,-250.38,5444.02
2025-03-15,Synthétique PME,-308.3,5135.71
2025-03-16,Synthétique PME,-300.34,4835.38
2025-03-17,Synthétique PME,-332.05,4503.33
2025-03-18,Synthétique PME,-308.43,4194.89
2025-03-19,Synthétique PME,-248.57,3946.33
2025-03-20,Synthétique PME,-311.44,3634.89
2025-03-21,Synthétique PME,-274.52,3360.36
2025-03-22,Synthétique PME,-325.6,3034.76
2025-03-23,Synthétique PME,-375.1,2659.66
2025-03-24,Synthétique PME,-357.11,2302.55
2025-03-25,Synthétique PME,-288.02,2014.53
2025-03-26,Synthétique PME,-271.83,1742.7
2025-03-27,Synthétique PME,-296.97,1445.74
2025-03-28,Synthétique PME,-247.54,1198.2
2025-03-29,Synthétique PME,-243.59,954.61
2025-03-30,Synthétique PME,-305.39,649.22
2025-03-31,Synthétique PME,-303.49,345.73
2025-04-01,Synthétique PME,7922.21,8267.95
2025-04-02,Synthétique PME,-377.76,7890.18
2025-04-03,Synthétique PME,-323.97,7566.21
2025-04-04,Synthétique PME,-292.79,7273.42
2025-04-05,Synthétique PME,-310.57,6962.86
2025-04-06,Synthétique PME,-279.75,6683.1
2025-04-07,Synthétique PME,-248.05,6435.05
2025-04-08,Synthétique PME,-299.76,6135.3
2025-04-09,Synthétique PME,-257.3,5877.99
2025-04-10,Synthétique PME,-363.09,5514.9
2025-04-11,Synthétique PME,-266.58,5248.32
2025-04-12,Synthétique PME,-302.1,4946.22
2025-04-13,Synthétique PME,-364.08,4582.13
2025-04-14,Synthétique PME,-330.77,4251.36
2025-04-15,Synthétique PME,-260.34,3991.02
2025-04-16,Synthétique PME,-268.44,3722.57
2025-04-17,Synthétique PME,-250.14,3472.43
2025-04-18,Synthétique PME,-263.47,3208.96
2025-04-19,Synthétique PME,-175.65,3033.31
2025-04-20,Synthétique PME,-308.66,2724.65
2025-04-21,Synthétique PME,-358.75,2365.9
2025-04-22,Synthétique PME,-311.94,2053.96
2025-04-23,Synthétique PME,-277.12,1776.84
2025-04-24,Synthétique PME,-387.56,1389.29
2025-04-25,Synthétique PME,-200.58,1188.71
2025-04-26,Synthétique PME,-311.29,877.42
2025-04-27,Synthétique PME,-222.95,654.47
2025-04-28,Synthétique PME,-338.47,316.0
2025-04-29,Synthétique PME,-373.93,-57.94
2025-04-30,Synthétique PME,-324.33,-382.27
2025-05-01,Synthétique PME,9236.09,8853.82
2025-05-02,Synthétique PME,-212.43,8641.39
2025-05-03,Synthétique PME,-224.62,8416.77
2025-05-04,Synthétique PME,-252.59,8164.18
2025-05-05,Synthétique PME,-304.69,7859.49
2025-05-06,Synthétique PME,-306.94,7552.55
2025-05-07,Synthétique PME,-303.19,7249.37
2025-05-08,Synthétique PME,-317.17,6932.2
2025-05-09,Synthétique PME,-302.81,6629.39
2025-05-10,Synthétique PME,-389.42,6239.97
2025-05-11,Synthétique PME,-279.63,5960.33
2025-05-12,Synthétique PME,-281.59,5678.75
2025-05-13,Synthétique PME,-371.48,5307.27
2025-05-14,Synthétique PME,-346.08,4961.19
2025-05-15,Synthétique PME,-286.88,4674.31
2025-05-16,Synthétique PME,-368.24,4306.08
2025-05-17,Synthétique PME,-275.3,4030.77
2025-05-18,Synthétique PME,-239.28,3791.49
2025-05-19,Synthétique PME,-241.0,3550.49
2025-05-20,Synthétique PME,-334.08,3216.4
2025-05-21,Synthétique PME,-253.12,2963.29
2025-05-22,Synthétique PME,-290.65,2672.63
2025-05-23,Synthétique PME,-228.73,2443.9
2025-05-24,Synthétique PME,-315.63,2128.27
2025-05-25,Synthétique PME,-299.63,1828.63
2025-05-26,Synthétique PME,-241.28,1587.36
2025-05-27,Synthétique PME,-249.87,1337.49
2025-05-28,Synthétique PME,-269.59,1067.9
2025-05-29,Synthétique PME,-230.76,837.14
2025-05-30,Synthétique PME,-330.82,506.32
2025-05-31,Synthétique PME,-310.56,195.75
2025-06-01,Synthétique PME,7758.89,7954.65
2025-06-02,Synthétique PME,-288.94,7665.7
2025-06-03,Synthétique PME,-289.32,7376.38
2025-06-04,Synthétique PME,-287.95,7088.43
2025-06-05,Synthétique PME,-318.52,6769.91
2025-06-06,Synthétique PME,-365.47,6404.44
2025-06-07,Synthétique PME,-312.02,6092.41
2025-06-08,Synthétique PME,-234.76,5857.65
2025-06-09,Synthétique PME,-275.8,5581.85
2025-06-10,Synthétique PME,-269.88,5311.97
2025-06-11,Synthétique PME,-292.66,5019.31
2025-06-12,Synthétique PME,-296.94,4722.37
2025-06-13,Synthétique PME,-256.44,4465.92
2025-06-14,Synthétique PME,-285.94,4179.98
2025-06-15,Synthétique PME,-323.2,3856.79
2025-06-16,Synthétique PME,-285.97,3570.81
2025-06-17,Synthétique PME,-281.7,3289.11
2025-06-18,Synthétique PME,-254.87,3034.24
2025-06-19,Synthétique PME,-270.06,2764.18
2025-06-20,Synthétique PME,-256.81,2507.38
2025-06-21,Synthétique PME,-244.18,2263.2
2025-06-22,Synthétique PME,-329.01,1934.19
2025-06-23,Synthétique PME,-318.77,1615.42
2025-06-24,Synthétique PME,-329.34,1286.08
2025-06-25,Synthétique PME,-304.0,982.08
2025-06-26,Synthétique PME,-276.38,705.7
2025-06-27,Synthétique PME,-290.6,415.1
2025-06-28,Synthétique PME,-295.15,119.94
2025-06-29,Synthétique PME,-344.52,-224.58
2025-06-30,Synthétique PME,-277.87,-502.44
2025-07-01,Synthétique PME,7483.79,6981.34
2025-07-02,Synthétique PME,-308.51,6672.83
2025-07-03,Synthétique PME,-345.79,6327.04
2025-07-04,Synthétique PME,-334.5,5992.54
2025-07-05,Synthétique PME,-344.52,5648.02
2025-07-06,Synthétique PME,-306.24,5341.77
2025-07-07,Synthétique PME,-263.59,5078.19
2025-07-08,Synthétique PME,-385.04,4693.15
2025-07-09,Synthétique PME,-389.54,4303.61
2025-07-10,Synthétique PME,-304.43,3999.18
2025-07-11,Synthétique PME,-270.67,3728.51
2025-07-12,Synthétique PME,-289.12,3439.39
2025-07-13,Synthétique PME,-430.54,3008.86
2025-07-14,Synthétique PME,-354.51,2654.35
2025-07-15,Synthétique PME,-303.96,2350.39
2025-07-16,Synthétique PME,-362.9,1987.49
2025-07-17,Synthétique PME,-263.95,1723.53
2025-07-18,Synthétique PME,-341.84,1381.7
2025-07-19,Synthétique PME,-296.15,1085.54
2025-07-20,Synthétique PME,-291.71,793.83
2025-07-21,Synthétique PME,-331.43,462.41
2025-07-22,Synthétique PME,-353.54,108.87
2025-07-23,Synthétique PME,-302.48,-193.61
2025-07-24,Synthétique PME,-302.98,-496.59
2025-07-25,Synthétique PME,-364.36,-860.94
2025-07-26,Synthétique PME,-299.82,-1160.77
2025-07-27,Synthétique PME,-320.78,-1481.54
2025-07-28,Synthétique PME,-257.85,-1739.39
2025-07-29,Synthétique PME,-191.9,-1931.29
2025-07-30,Synthétique PME,-355.3,-2286.59
2025-07-31,Synthétique PME,-361.85,-2648.44
2025-08-01,Synthétique PME,7869.1,5220.66
2025-08-02,Synthétique PME,-324.4,4896.26
2025-08-03,Synthétique PME,-306.99,4589.27
2025-08-04,Synthétique PME,-337.18,4252.09
2025-08-05,Synthétique PME,-361.9,3890.19
2025-08-06,Synthétique PME,-305.96,3584.22
2025-08-07,Synthétique PME,-280.27,3303.95
2025-08-08,Synthétique PME,-248.0,3055.95
2025-08-09,Synthétique PME,-275.99,2779.97
2025-08-10,Synthétique PME,-265.08,2514.88
2025-08-11,Synthétique PME,-297.38,2217.51
2025-08-12,Synthétique PME,-197.88,2019.63
2025-08-13,Synthétique PME,-316.45,1703.18
2025-08-14,Synthétique PME,-359.89,1343.28
2025-08-15,Synthétique PME,-263.59,1079.7
2025-08-16,Synthétique PME,-220.76,858.93
2025-08-17,Synthétique PME,-268.54,590.39
2025-08-18,Synthétique PME,-316.49,273.9
2025-08-19,Synthétique PME,-368.49,-94.59
2025-08-20,Synthétique PME,-260.74,-355.33
2025-08-21,Synthétique PME,-294.38,-649.7
2025-08-22,Synthétique PME,-369.18,-1018.88
2025-08-23,Synthétique PME,-259.27,-1278.15
2025-08-24,Synthétique PME,-180.09,-1458.24
2025-08-25,Synthétique PME,-305.89,-1764.13
2025-08-26,Synthétique PME,-411.21,-2175.34
2025-08-27,Synthétique PME,-324.37,-2499.72
2025-08-28,Synthétique PME,-286.57,-2786.29
2025-08-29,Synthétique PME,-343.73,-3130.01
2025-08-30,Synthétique PME,-291.4,-3421.42
2025-08-31,Synthétique PME,-329.2,-3750.62
2025-09-01,Synthétique PME,8260.24,4509.62
2025-09-02,Synthétique PME,-367.42,4142.2
2025-09-03,Synthétique PME,-280.34,3861.86
2025-09-04,Synthétique PME,-279.14,3582.73
2025-09-05,Synthétique PME,-365.34,3217.39
2025-09-06,Synthétique PME,-369.47,2847.92
2025-09-07,Synthétique PME,-352.9,2495.01
2025-09-08,Synthétique PME,-219.58,2275.44
2025-09-09,Synthétique PME,-323.29,1952.14
2025-09-10,Synthétique PME,-423.23,1528.91
2025-09-11,Synthétique PME,-331.58,1197.34
2025-09-12,Synthétique PME,-263.12,934.22
2025-09-13,Synthétique PME,-320.66,613.56
2025-09-14,Synthétique PME,-329.73,283.82
2025-09-15,Synthétique PME,-353.13,-69.31
2025-09-16,Synthétique PME,-291.19,-360.5
2025-09-17,Synthétique PME,-298.24,-658.74
2025-09-18,Synthétique PME,-321.8,-980.54
2025-09-19,Synthétique PME,-335.76,-1316.3
2025-09-20,Synthétique PME,-318.14,-1634.44
2025-09-21,Synthétique PME,-316.35,-1950.79
2025-09-22,Synthétique PME,-336.85,-2287.63
2025-09-23,Synthétique PME,-385.39,-2673.02
2025-09-24,Synthétique PME,-335.59,-3008.61
2025-09-25,Synthétique PME,-346.22,-3354.83
2025-09-26,Synthétique PME,-259.3,-3614.13
2025-09-27,Synthétique PME,-323.36,-3937.49
2025-09-28,Synthétique PME,-305.68,-4243.17
2025-09-29,Synthétique PME,-262.43,-4505.6
2025-09-30,Synthétique PME,-239.82,-4745.43
2025-10-01,Synthétique PME,8476.92,3731.49
2025-10-02,Synthétique PME,-362.39,3369.1
2025-10-03,Synthétique PME,-271.2,3097.9
2025-10-04,Synthétique PME,-262.22,2835.68
2025-10-05,Synthétique PME,-346.24,2489.44
2025-10-06,Synthétique PME,-403.12,2086.32
2025-10-07,Synthétique PME,-251.0,1835.32
2025-10-08,Synthétique PME,-307.74,1527.58
2025-10-09,Synthétique PME,-330.6,1196.98
2025-10-10,Synthétique PME,-315.67,881.32
2025-10-11,Synthétique PME,-233.04,648.28
2025-10-12,Synthétique PME,-252.13,396.15
2025-10-13,Synthétique PME,-326.12,70.03
2025-10-14,Synthétique PME,-268.7,-198.66
2025-10-15,Synthétique PME,-257.92,-456.58
2025-10-16,Synthétique PME,-319.07,-775.64
2025-10-17,Synthétique PME,-348.94,-1124.59
2025-10-18,Synthétique PME,-245.69,-1370.28
2025-10-19,Synthétique PME,-312.74,-1683.02
2025-10-20,Synthétique PME,-294.02,-1977.04
2025-10-21,Synthétique PME,-306.94,-2283.99
2025-10-22,Synthétique PME,-256.38,-2540.37
2025-10-23,Synthétique PME,-194.89,-2735.26
2025-10-24,Synthétique PME,-231.44,-2966.69
2025-10-25,Synthétique PME,-355.52,-3322.22
2025-10-26,Synthétique PME,-237.78,-3560.0
2025-10-27,Synthétique PME,-389.31,-3949.31
2025-10-28,Synthétique PME,-297.0,-4246.31
2025-10-29,Synthétique PME,-292.26,-4538.57
2025-10-30,Synthétique PME,-251.42,-4789.98
2025-10-31,Synthétique PME,-271.28,-5061.26
2025-11-01,Synthétique PME,9428.48,4367.22
2025-11-02,Synthétique PME,-283.13,4084.09
2025-11-03,Synthétique PME,-307.57,3776.52
2025-11-04,Synthétique PME,-286.33,3490.19
2025-11-05,Synthétique PME,-303.07,3187.11
2025-11-06,Synthétique PME,-366.16,2820.95
2025-11-07,Synthétique PME,-325.03,2495.92
2025-11-08,Synthétique PME,-331.4,2164.52
2025-11-09,Synthétique PME,-369.63,1794.89
2025-11-10,Synthétique PME,-252.11,1542.78
2025-11-11,Synthétique PME,-310.2,1232.58
2025-11-12,Synthétique PME,-301.74,930.83
2025-11-13,Synthétique PME,-234.86,695.98
2025-11-14,Synthétique PME,-280.27,415.71
2025-11-15,Synthétique PME,-248.05,167.66
2025-11-16,Synthétique PME,-326.65,-158.99
2025-11-17,Synthétique PME,-259.97,-418.96
2025-11-18,Synthétique PME,-189.18,-608.14
2025-11-19,Synthétique PME,-301.39,-909.53
2025-11-20,Synthétique PME,-282.61,-1192.14
2025-11-21,Synthétique PME,-265.35,-1457.49
2025-11-22,Synthétique PME,-229.89,-1687.38
2025-11-23,Synthétique PME,-294.36,-1981.74
2025-11-24,Synthétique PME,-366.77,-2348.5
2025-11-25,Synthétique PME,-384.47,-2732.97
2025-11-26,Synthétique PME,-286.89,-3019.86
2025-11-27,Synthétique PME,-269.17,-3289.04
