Date,Libellé,Montant,Solde
2025-01-01,Solde initial,0.0,10000.0
2025-01-02,Facturation,-231.05,9768.95
2025-01-03,Facturation,-294.15,9474.8
2025-01-04,Facturation,-303.9,9170.9
2025-01-05,Facturation,-372.04,8798.86
2025-01-06,Facturation,-324.46,8474.4
2025-01-07,Facturation,-211.42,8262.98
2025-01-08,Facturation,-368.9,7894.08
2025-01-09,Facturation,-257.67,7636.4
2025-01-10,Facturation,-298.16,7338.24
2025-01-11,Facturation,-193.14,7145.1
2025-01-12,Facturation,-314.81,6830.29
2025-01-13,Facturation,-327.76,6502.53
2025-01-14,Facturation,-231.67,6270.86
2025-01-15,Facturation,-315.8,5955.06
2025-01-16,Facturation,-278.95,5676.11
2025-01-17,Facturation,-346.86,5329.25
2025-01-18,Facturation,-315.48,5013.77
2025-01-19,Facturation,-339.54,4674.23
2025-01-20,Facturation,-265.71,4408.52
2025-01-21,Facturation,-224.14,4184.38
2025-01-22,Facturation,-273.43,3910.94
2025-01-23,Facturation,-240.13,3670.81
2025-01-24,Facturation,-333.87,3336.94
2025-01-25,Facturation,-271.0,3065.94
2025-01-26,Facturation,-334.15,2731.78
2025-01-27,Facturation,-272.98,2458.81
2025-01-28,Facturation,-324.86,2133.94
2025-01-29,Facturation,-333.51,1800.43
2025-01-30,Facturation,-330.12,1470.31
2025-01-31,Facturation,-311.96,1158.34
2025-02-01,Facturation,6973.73,8132.08
2025-02-02,Facturation,-309.24,7822.84
2025-02-03,Facturation,-294.74,7528.09
2025-02-04,Facturation,-304.13,7223.96
2025-02-05,Facturation,-274.96,6949.0
2025-02-06,Facturation,-347.54,6601.46
2025-02-07,Facturation,-302.31,6299.15
2025-02-08,Facturation,-307.6,5991.55
2025-02-09,Facturation,-363.81,5627.74
2025-02-10,Facturation,-311.4,5316.35
2025-02-11,Facturation,-301.02,5015.32
2025-02-12,Facturation,-248.4,4766.92
2025-02-13,Facturation,-299.88,4467.04
2025-02-14,Facturation,-228.28,4238.76
2025-02-15,Facturation,-204.26,4034.5
2025-02-16,Facturation,-348.49,3686.01
2025-02-17,Facturation,-184.71,3501.29
2025-02-18,Facturation,-352.0,3149.3
2025-02-19,Facturation,-316.38,2832.92
2025-02-20,Facturation,-352.63,2480.29
2025-02-21,Facturation,-285.43,2194.86
2025-02-22,Facturation,-307.51,1887.35
2025-02-23,Facturation,-319.01,1568.35
2025-02-24,Facturation,-292.92,1275.43
2025-02-25,Facturation,-388.42,887.0
2025-02-26,Facturation,-317.97,569.04
2025-02-27,Facturation,-286.64,282.4
2025-02-28,Facturation,-260.6,21.8
2025-03-01,Facturation,8955.66,8977.45
2025-03-02,Facturation,-265.34,8712.12
2025-03-03,Facturation,-266.34,8445.78
2025-03-04,Facturation,-258.4,8187.37
2025-03-05,Facturation,-348.86,7838.52
2025-03-06,Facturation,-281.85,7556.66
2025-03-07,Facturation,-268.59,7288.07
2025-03-08,Facturation,-311.02,6977.06
2025-03-09,Dépense exceptionnelle,-5469.07,1507.98
2025-03-10,Facturation,-327.92,1180.07
2025-03-11,Facturation,-237.62,942.45
2025-03-12,Facturation,-265.72,676.73
2025-03-13,Facturation,-232.1,444.63
2025-03-14,Facturation,-286.5,158.12
2025-03-15,Facturation,-310.72,-152.59
2025-03-16,Facturation,-454.53,-607.12
2025-03-17,Facturation,-316.21,-923.33
2025-03-18,Facturation,-236.16,-1159.5
2025-03-19,Facturation,-229.72,-1389.21
2025-03-20,Facturation,-251.48,-1640.69
2025-03-21,Facturation,-316.01,-1956.7
2025-03-22,Facturation,-318.38,-2275.08
2025-03-23,Facturation,-410.7,-2685.78
2025-03-24,Facturation,-277.33,-2963.11
2025-03-25,Facturation,-353.9,-3317.01
2025-03-26,Facturation,-150.5,-3467.51
2025-03-27,Facturation,-352.81,-3820.32
2025-03-28,Facturation,-312.93,-4133.25
2025-03-29,Facturation,-297.42,-4430.66
2025-03-30,Facturation,-265.43,-4696.1
2025-03-31,Facturation,-280.42,-4976.52
2025-04-01,Facturation,8161.22,3184.7
2025-04-02,Facturation,-208.24,2976.46
2025-04-03,Facturation,-236.1,2740.35
2025-04-04,Facturation,-244.99,2495.36
2025-04-05,Facturation,-336.23,2159.13
2025-04-06,Facturation,-362.66,1796.48
2025-04-07,Facturation,-282.77,1513.71
2025-04-08,Facturation,-277.75,1235.96
2025-04-09,Facturation,-298.76,937.2
2025-04-10,Facturation,-254.4,682.8
2025-04-11,Facturation,-277.04,405.75
2025-04-12,Facturation,-373.88,31.88
2025-04-13,Facturation,-327.28,-295.4
2025-04-14,Facturation,-326.35,-621.75
2025-04-15,Facturation,-411.03,-1032.78
2025-04-16,Facturation,-272.13,-1304.91
2025-04-17,Facturation,-244.86,-1549.77
2025-04-18,Facturation,-307.0,-1856.77
2025-04-19,Facturation,-276.15,-2132.92
2025-04-20,Facturation,-194.79,-2327.71
2025-04-21,Facturation,-355.24,-2682.95
2025-04-22,Facturation,-282.91,-2965.87
2025-04-23,Facturation,-345.15,-3311.02
2025-04-24,Facturation,-298.49,-3609.51
2025-04-25,Facturation,-328.05,-3937.56
2025-04-26,Facturation,-371.3,-4308.86
2025-04-27,Facturation,-317.67,-4626.54
2025-04-28,Facturation,-316.1,-4942.64
2025-04-29,Facturation,-272.05,-5214.69
2025-04-30,Facturation,-308.38,-5523.06
2025-05-01,Facturation,6531.74,1008.68
2025-05-02,Facturation,-400.85,607.83
2025-05-03,Facturation,-376.23,231.6
2025-05-04,Facturation,-344.77,-113.17
2025-05-05,Facturation,-206.47,-319.64
2025-05-06,Facturation,-341.55,-661.19
2025-05-07,Facturation,-361.21,-1022.39
2025-05-08,Facturation,-245.04,-1267.44
2025-05-09,Facturation,-303.47,-1570.91
2025-05-10,Facturation,-279.47,-1850.38
2025-05-11,Facturation,-248.39,-2098.77
2025-05-12,Facturation,-288.34,-2387.11
2025-05-13,Facturation,-319.88,-2706.99
2025-05-14,Facturation,-298.37,-3005.36
2025-05-15,Facturation,-298.25,-3303.61
