Date,Libellé,Montant,Solde
2025-01-01,Solde initial,0.0,10000.0
2025-01-02,Synthétique,6.16,10006.16
2025-01-03,Synthétique,453.03,10459.19
2025-01-04,Synthétique,205.53,10664.72
2025-01-05,Synthétique,744.04,11408.76
2025-01-06,Synthétique,1443.84,12852.6
2025-01-07,Synthétique,2425.8,15278.4
2025-01-08,Synthétique,4030.32,19308.71
2025-01-09,Synthétique,7181.56,26490.28
2025-01-10,Synthétique,13276.12,39766.4
2025-01-11,Synthétique,23803.52,63569.92
2025-01-12,Synthétique,42703.21,106273.14
2025-01-13,Synthétique,76926.44,183199.58
2025-01-14,Synthétique,138685.57,321885.15
2025-01-15,Synthétique,249638.39,571523.53
2025-01-16,Synthétique,449407.29,1020930.83
2025-01-17,Synthétique,808770.92,1829701.75
2025-01-18,Synthétique,1455642.56,3285344.31
2025-01-19,Synthétique,2620399.22,5905743.53
2025-01-20,Synthétique,4716536.0,10622279.53
2025-01-21,Synthétique,8490189.65,19112469.18
2025-01-22,Synthétique,15281590.87,34394060.05
2025-01-23,Synthétique,27507089.52,61901149.57
2025-01-24,Synthétique,49512907.84,111414057.41
2025-01-25,Synthétique,89123178.13,200537235.55
2025-01-26,Synthétique,160421609.72,360958845.27
2025-01-27,Synthétique,288758870.55,649717715.82
2025-01-28,Synthétique,519766315.32,1169484031.14
2025-01-29,Synthétique,935579428.69,2105063459.84
2025-01-30,Synthétique,1684042678.97,3789106138.8
2025-01-31,Synthétique,3031276780.56,6820382919.37
2025-02-01,Synthétique,5456298314.64,12276681234.0
2025-02-02,Synthétique,9821337129.47,22098018363.48
2025-02-03,Synthétique,17678406476.62,39776424840.09
2025-02-04,Synthétique,31821131672.46,71597556512.55
2025-02-05,Synthétique,57278037143.43,128875593655.98
2025-02-06,Synthétique,103100466906.32,231976060562.31
2025-02-07,Synthétique,185580840704.24,417556901266.55
2025-02-08,Synthétique,334045513068.24,751602414334.79
2025-02-09,Synthétique,601281923519.14,1352884337853.93
2025-02-10,Synthétique,1082307462171.22,2435191800025.15
2025-02-11,Synthétique,1948153432146.53,4383345232171.68
2025-02-12,Synthétique,3506676177849.4,7890021410021.08
2025-02-13,Synthétique,6312017120077.48,14202038530098.56
2025-02-14,Synthétique,11361630816140.21,25563669346238.77
2025-02-15,Synthétique,20450935469184.9,46014604815423.67
2025-02-16,Synthétique,36811683844149.88,82826288659573.55
2025-02-17,Synthétique,66261030919485.23,149087319579058.78
2025-02-18,Synthétique,119269855654999.97,268357175234058.75
2025-02-19,Synthétique,214685740179300.88,483042915413359.6
2025-02-20,Synthétique,386434332322322.9,869477247735682.5
2025-02-21,Synthétique,695581798180490.5,1565059045916173.0
2025-02-22,Synthétique,1252047236725165.0,2817106282641338.0
2025-02-23,Synthétique,2253685026104966.0,5070791308746304.0
2025-02-24,Synthétique,4056633046988664.0,9127424355734968.0
2025-02-25,Synthétique,7301939484579960.0,1.6429363840314928e+16
2025-02-26,Synthétique,1.314349107224384e+16,2.957285491255877e+16
2025-02-27,Synthétique,2.3658283930038736e+16,5.32311388425975e+16
2025-02-28,Synthétique,4.258491107406968e+16,9.581604991666718e+16
2025-03-01,Synthétique,7.665283993332552e+16,1.724688898499927e+17
2025-03-02,Synthétique,1.379751118799863e+17,3.10444001729979e+17
2025-03-03,Synthétique,2.483552013839753e+17,5.587992031139543e+17
2025-03-04,Synthétique,4.470393624911552e+17,1.0058385656051095e+18
2025-03-05,Synthétique,8.046708524840796e+17,1.810509418089189e+18
2025-03-06,Synthétique,1.4484075344713434e+18,3.2589169525605325e+18
2025-03-07,Synthétique,2.607133562048418e+18,5.86605051460895e+18
2025-03-08,Synthétique,4.692840411687153e+18,1.0558890926296103e+19
2025-03-09,Synthétique,8.447112741036874e+18,1.9006003667332977e+19
2025-03-10,Synthétique,1.5204802933866377e+19,3.4210806601199354e+19
2025-03-11,Synthétique,2.736864528095948e+19,6.157945188215883e+19
2025-03-12,Synthétique,4.926356150572707e+19,1.108430133878859e+20
2025-03-13,Synthétique,8.867441071030872e+19,1.9951742409819462e+20
2025-03-14,Synthétique,1.596139392785557e+20,3.591313633767503e+20
2025-03-15,Synthétique,2.8730509070140028e+20,6.464364540781506e+20
2025-03-16,Synthétique,5.171491632625206e+20,1.1635856173406712e+21
2025-03-17,Synthétique,9.30868493872537e+20,2.0944541112132082e+21
2025-03-18,Synthétique,1.6755632889705663e+21,3.7700174001837745e+21
2025-03-19,Synthétique,3.0160139201470194e+21,6.786031320330794e+21
2025-03-20,Synthétique,5.428825056264636e+21,1.221485637659543e+22
2025-03-21,Synthétique,9.771885101276341e+21,2.198674147787177e+22
2025-03-22,Synthétique,1.7589393182297413e+22,3.9576134660169184e+22
2025-03-23,Synthétique,3.1660907728135344e+22,7.123704238830453e+22
2025-03-24,Synthétique,5.698963391064363e+22,1.2822667629894815e+23
2025-03-25,Synthétique,1.025813410391585e+23,2.3080801733810666e+23
2025-03-26,Synthétique,1.8464641387048536e+23,4.15454431208592e+23
2025-03-27,Synthétique,3.3236354496687364e+23,7.478179761754657e+23
2025-03-28,Synthétique,5.982543809403725e+23,1.3460723571158382e+24
2025-03-29,Synthétique,1.0768578856926707e+24,2.422930242808509e+24
2025-03-30,Synthétique,1.9383441942468075e+24,4.3612744370553164e+24
2025-03-31,Synthétique,3.489019549644253e+24,7.850293986699569e+24
2025-04-01,Synthétique,6.280235189359656e+24,1.4130529176059225e+25
2025-04-02,Synthétique,1.130442334084738e+25,2.5434952516906604e+25
2025-04-03,Synthétique,2.034796201352528e+25,4.578291453043188e+25
2025-04-04,Synthétique,3.6626331624345504e+25,8.240924615477739e+25
2025-04-05,Synthétique,0.0,8.240924615477739e+25
2025-04-06,Synthétique,6.592739692382191e+25,1.483366430785993e+26
2025-04-07,Synthétique,1.1866931446287944e+26,2.6700595754147874e+26
2025-04-08,Synthétique,2.1360476603318302e+26,4.8061072357466176e+26
2025-04-09,Synthétique,3.8448857885972944e+26,8.650993024343912e+26
2025-04-10,Synthétique,6.92079441947513e+26,1.557178744381904e+27
2025-04-11,Synthétique,1.2457429955055234e+27,2.8029217398874275e+27
2025-04-12,Synthétique,2.2423373919099427e+27,5.04525913179737e+27
2025-04-13,Synthétique,4.0362073054378966e+27,9.081466437235267e+27
2025-04-14,Synthétique,7.265173149788215e+27,1.6346639587023481e+28
2025-04-15,Synthétique,1.3077311669618786e+28,2.9423951256642267e+28
2025-04-16,Synthétique,2.3539161005313813e+28,5.296311226195608e+28
2025-04-17,Synthétique,4.237048980956487e+28,9.533360207152095e+28
2025-04-18,Synthétique,7.626688165721676e+28,1.716004837287377e+29
2025-04-19,Synthétique,1.372803869829902e+29,3.088808707117279e+29
2025-04-20,Synthétique,2.471046965693823e+29,5.559855672811102e+29
2025-04-21,Synthétique,4.4478845382488826e+29,1.0007740211059985e+30
2025-04-22,Synthétique,8.006192168847989e+29,1.8013932379907974e+30
2025-04-23,Synthétique,1.441114590392638e+30,3.2425078283834354e+30
2025-04-24,Synthétique,2.594006262706748e+30,5.836514091090184e+30
2025-04-25,Synthétique,4.6692112728721473e+30,1.050572536396233e+31
2025-04-26,Synthétique,8.404580291169866e+30,1.8910305655132197e+31
2025-04-27,Synthétique,1.512824452410576e+31,3.403855017923796e+31
2025-04-28,Synthétique,2.723084014339037e+31,6.126939032262833e+31
2025-04-29,Synthétique,4.901551225810267e+31,1.10284902580731e+32
2025-04-30,Synthétique,8.822792206458482e+31,1.985128246453158e+32
2025-05-01,Synthétique,1.588102597162527e+32,3.573230843615685e+32
2025-05-02,Synthétique,2.8585846748925483e+32,6.4318155185082334e+32
2025-05-03,Synthétique,5.1454524148065864e+32,1.157726793331482e+33
2025-05-04,Synthétique,9.261814346651857e+32,2.0839082279966677e+33
2025-05-05,Synthétique,1.667126582397334e+33,3.7510348103940016e+33
2025-05-06,Synthétique,3.000827848315202e+33,6.751862658709204e+33
2025-05-07,Synthétique,5.401490126967362e+33,1.2153352785676566e+34
2025-05-08,Synthétique,9.722682228541251e+33,2.1876035014217817e+34
2025-05-09,Synthétique,1.7500828011374257e+34,3.9376863025592074e+34
2025-05-10,Synthétique,3.150149042047366e+34,7.0878353446065735e+34
2025-05-11,Synthétique,5.670268275685259e+34,1.2758103620291833e+35
2025-05-12,Synthétique,1.0206482896233467e+35,2.29645865165253e+35
2025-05-13,Synthétique,1.837166921322024e+35,4.133625572974554e+35
2025-05-14,Synthétique,3.3069004583796436e+35,7.440526031354198e+35
2025-05-15,Synthétique,5.9524208250833584e+35,1.3392946856437556e+36
2025-05-16,Synthétique,1.0714357485150044e+36,2.41073043415876e+36
2025-05-17,Synthétique,1.9285843473270082e+36,4.339314781485768e+36
2025-05-18,Synthétique,3.4714518251886147e+36,7.810766606674383e+36
2025-05-19,Synthétique,6.248613285339507e+36,1.405937989201389e+37
2025-05-20,Synthétique,1.1247503913611115e+37,2.5306883805625005e+37
2025-05-21,Synthétique,2.0245507044500002e+37,4.555239085012501e+37
2025-05-22,Synthétique,3.6441912680100007e+37,8.199430353022501e+37
2025-05-23,Synthétique,6.559544282418001e+37,1.4758974635440503e+38
2025-05-24,Synthétique,1.1807179708352404e+38,2.6566154343792907e+38
2025-05-25,Synthétique,2.125292347503433e+38,4.781907781882724e+38
2025-05-26,Synthétique,3.82552622550618e+38,8.607434007388904e+38
2025-05-27,Synthétique,6.885947205911123e+38,1.5493381213300027e+39
2025-05-28,Synthétique,1.2394704970640025e+39,2.788808618394005e+39
2025-05-29,Synthétique,2.2310468947152044e+39,5.0198555131092095e+39
2025-05-30,Synthétique,4.0158844104873674e+39,9.035739923596577e+39
2025-05-31,Synthétique,7.228591938877263e+39,1.626433186247384e+40
